Name,Address,City,Zipcode,Statea
"Police Dept-Communications","2055 Lincoln St","Oroville","95966-5325","CA"
"Shasta County Sheriff's Office","2059 Shasta St","Vinton","96135-0000","CA"
"Riverside Police Dept","2060 University Ave","Riverside","92507-5210","CA"
"La Verne City Police Dept","2061 3rd St","La Verne","91750-4404","CA"
"Pasadena Police Jail","207 N Garfield Ave","Pasadena","91101-1748","CA"
"Secret Witness Crime Reporting","207 W Line St","Bishop","93514-3410","CA"
"San Diego County Sheriff","2082 Thibodo Rd","Vista","92083-7919","CA"
"Sheriff Department Civil Div","209 W Yosemite Ave","Madera","93637-3534","CA"
"Oxnard Police Dept","2091 Statham Blvd","Oxnard","93033-3901","CA"
"San Luis Obispo Coast Patrol","2099 10th St","Los Osos","93402-3245","CA"
"Hemet Police Dept-Records","210 N Juanita St","Hemet","92543-4272","CA"
"Inyo Sheriff Substation","210 N Washington St","Lone Pine","93545-0000","CA"
"Oakley Police Dept","210 Ohara Ave","Oakley","94561-5734","CA"
"Crime Prevention & Youth Svc","210 W Temple St # 18-206","Los Angeles","90012-3210","CA"
"Municipal Court Criminal Div","210 W Temple St","Los Angeles","90012-3210","CA"
"Berkeley Police Dept Chief","2100 Martin Luther King Jr Way","Berkeley","94704-1109","CA"
"Thousand Oaks Police Disaster","2101 E Olsen Rd","Thousand Oaks","91360-6861","CA"
"Marina Police Dept","211 Hillcrest Ave","Marina","93933-3534","CA"
"Oxnard Police Dept","211 N Grant Ave","Oxnard","93030-3635","CA"
"Alhambra Police Dept","211 S 1st St","Alhambra","91801-3706","CA"
"Los Angeles Police Dept","2111 E 1st St","Los Angeles","90033-3917","CA"
"California City Police Dept","21130 Hacienda Blvd","California City","93505-2206","CA"
"Sheriff's Dept","21159 Calistoga Rd","Middletown","95461-9300","CA"
"Police Dept-Patrol Svc Bureau","212 Brookside Ave","Redlands","92373-4606","CA"
"Alameda County Criminal Court","2120 Martin Luther King Jr Way","Berkeley","94704-1109","CA"
"Police Review Commission","2121 Mckinley Ave","Berkeley","94703-1519","CA"
"L A County Sheriff Sta-Carson","21356 Avalon Blvd","Carson","90745-2213","CA"
"Santa Paula Animal Control","214 S 10th St","Santa Paula","93060-3704","CA"
"Los Angeles County Sheriff","214 S Fetterly Ave","Los Angeles","90022-1644","CA"
"Yuba County Sheriff","215 5th St","Marysville","95901-5737","CA"
"Santa Barbara Police-Comm Svc","215 E Figueroa St","Santa Barbara","93101-2120","CA"
"Police Dept","215 El Camino Real S","Salinas","93908-8748","CA"
"Los Angeles County Sheriff","215 Sumner Ave","Avalon","90704-0000","CA"
"Watsonville Police Dept","215 Union St","Watsonville","95076-5009","CA"
"San Bernardino County Sheriff","216 Brookside Ave","Redlands","92373-4606","CA"
"Concord Police Dept","2166 Solano Way","Concord","94520-4700","CA"
"Walnut Sheriff's Station","21695 Valley Blvd","Walnut","91789-2019","CA"
"Kensington Police Dept","217 Arlington Ave","Kensington","94707-1401","CA"
"Los Angeles Police Dept-Jail","2175 John S Gibson Blvd","San Pedro","90731-1599","CA"
"Imperial County Sheriff","218 E 1st St","Niland","92257-0000","CA"
"San Mateo County Sheriff","219 Demeter St","East Palo Alto","94303-1304","CA"
"Fresno County Sheriff","21925 W Manning Ave","San Joaquin","93660-0000","CA"
"Police Department-Case Review","22 E Market St","Stockton","95202-2802","CA"
"Barstow Police Dept","220 E Mountain View St # B","Barstow","92311-2839","CA"
"Barstow City Police Adm","220 E Mountain View St","Barstow","92311-2839","CA"
"Lassen County Sheriff","220 S Lassen St # 1","Susanville","96130-4357","CA"
"District Attorney Criminal Div","220 S Lassen St # 8","Susanville","96130-4343","CA"
"Fresno County Sheriff's Dept","2200 Fresno St","Fresno","93721-1703","CA"
"Stanislaus County Sheriff","22113 Highway 33","Crows Landing","95313-9665","CA"
"Santa Maria Police Dept","222 E Cook St","Santa Maria","93454-5193","CA"
"Superior Court-Criminal","222 E Weber Ave","Stockton","95202-2709","CA"
"Salinas Police Investigation","222 Lincoln Ave","Salinas","93901-2639","CA"
"Holtville Police Dept","222 W 4th St","Holtville","92250-1144","CA"
"Anderson Police Dept","2220 North St","Anderson","96007-3437","CA"
"San Ramon Police Dept","2222 Camino Ramon","San Ramon","94583-1350","CA"
"Criminal Div","2233 Shoreline Dr","Alameda","94501-6227","CA"
"Police Dept-Investigations Div","224 N El Dorado St","Stockton","95202-2309","CA"
"Escondido Police Dept","2247 E Valley Pkwy","Escondido","92027-2713","CA"
"Sheriff's Dept","225 E Mountain View St","Barstow","92311-2838","CA"
"San Joaquin Sheriff's Office","225 W Elm St # F","Lodi","95240-2049","CA"
"Municipal Court-Criminal Div","227 N D St","Perris","92570-1946","CA"
"Moreno Valley Police Dept","22850 Calle San Juan De Los","Moreno Valley","92553-0000","CA"
"Lodi Police Dept","230 W Elm St","Lodi","95240-2002","CA"
"Fresno Police Dept-Detectives","2323 Mariposa St","Fresno","93721-2250","CA"
"Sheriff Court Svc","2325 W Main St # 102","Visalia","93291-4599","CA"
"Fresno Police Dept-Records Bur","2326 Fresno St","Fresno","93721-1802","CA"
"San Jose Police Dept","233 Commercial St","San Jose","95112-4402","CA"
"Taraval Police Station","2345 24th Ave","San Francisco","94116-2331","CA"
"San Bernardino Criminal Court","235 E Mountain View St","Barstow","92311-2838","CA"
"Criminal Court","23525 Civic Center Way","Malibu","90265-4804","CA"
"Police Dept","236 Main St","Soledad","93960-2619","CA"
"Terra Bella Sheriff","23656 Avenue 95","Terra Bella","93270-9224","CA"
"Fullerton Police Dept-Records","237 W Commonwealth Ave","Fullerton","92832-1881","CA"
"Santa Clarita Sheriff Station","23740 Magic Mountain Pkwy","Valencia","91355-2102","CA"
"Healdsburg Police Dept","238 Center St","Healdsburg","95448-4402","CA"
"Blythe Police Dept","240 N Spring St","Blythe","92225-1635","CA"
"Mendocino County Sheriff","24000 S Highway 1","Point Arena","95468-0000","CA"
"Tulare County Sheriff-Warrants","2404 Burwell Ave","Visalia","93291-0000","CA"
"Tulare County Sheriff","2404 W Burrel Ave","Visalia","93291-4526","CA"
"Ontario Police Dept","2409 S Vineyard Ave","Ontario","91761-6401","CA"
"East Palo Alto Police Dept","2415 University Ave","East Palo Alto","94303-1164","CA"
"Sierra Madre Police Dept","242 W Sierra Madre Blvd","Sierra Madre","91024-2312","CA"
"Municipal Court-Criminal","24405 Amador St","Hayward","94544-1314","CA"
"Emeryville Police Dept","2449 Powell St","Emeryville","94608-1643","CA"
"Oakdale Police Dept","245 N 2nd Ave","Oakdale","95361-3028","CA"
"Placer County Sheriff","24580 Main St","Foresthill","95631-0000","CA"
"San Diego Police Dept","2469 Broadway","San Diego","92102-2021","CA"
"Shasta County Sheriff","2490 Radio Ln","Redding","96001-3829","CA"
"Fort Bragg Police Dept","250 Cypress St","Fort Bragg","95437-5437","CA"
"Twin Cities Police Authority","250 Doherty Dr","Larkspur","94939-1532","CA"
"Stanislaus Drug Enfrcmnt Agncy","250 E Hackett Rd","Modesto","95358-9415","CA"
"San Diego County Marshall","250 E Main St # C","El Cajon","92020-3991","CA"
"Monterey County Sheriff's Dept","250 Franciscan Way","King City","93930-3454","CA"
"Vallejo Police Dept","250 Georgia St","Vallejo","94590-5930","CA"
"Port Hueneme Police Dept","250 N Ventura Rd","Port Hueneme","93041-3094","CA"
"Turlock Police Dept","250 Starr Ave","Turlock","95380-3325","CA"
"Police Dept-Detective Bureau","250 W Huntington Dr","Arcadia","91007-3401","CA"
"Orange County Harbor Patrol","25005 Dana Dr","Dana Point","92629-3005","CA"
"San Diego Police Dept","2501 Imperial Ave","San Diego","92102-3918","CA"
"Placer County Criminal Court","2501 N Lake Blvd","Tahoe City","96145-0000","CA"
"Los Angeles Police Dept","251 E 6th St","Los Angeles","90014-3459","CA"
"Oxnard Police Dept","251 S C St","Oxnard","93030-5789","CA"
"Laguna Hills Police Dept","25201 Paseo De Alicia","Laguna Hills","92653-4626","CA"
"Contra Costa County Sheriff","2530 Arnold Dr # 140","Martinez","94553-4359","CA"
"Barstow Police Dept","2552 Mercantile Way","Barstow","92311-9417","CA"
"Carlsbad Police Dept Traffic","2560 Orion Way","Carlsbad","92008-7280","CA"
"San Diego Cnty Sheriff's Dept","25704 San Felipe Rd","Warner Springs","92086-9506","CA"
"Sheriff-Work Release","2584 W Sandy Mush Rd","El Nido","95317-0000","CA"
"Ripon Police Dept","259 N Wilma Ave","Ripon","95366-3028","CA"
"County Jail Adm","259 Water St","Santa Cruz","95060-4009","CA"
"Mission Viejo Police Dept","25909 Pala","Mission Viejo","92691-2778","CA"
"San Juan Capistrano Police","25925 Camino Del Avion","San Juan Cpstrno","92675-4302","CA"
"Moorpark Police Dept","26 Flory Ave","Moorpark","93021-1815","CA"
"Orinda Police Dept","26 Orinda Way","Orinda","94563-2519","CA"
"Colusa Police Dept","260 6th St","Colusa","95932-2429","CA"
"Riverside County Sheriffs Dept","260 N Spring St","Blythe","92225-1635","CA"
"Tulare Police Dept","260 S M St","Tulare","93274-4127","CA"
"Davis Police Dept","2600 5th St","Davis","95616-4585","CA"
"Richmond Police Commission","2600 Barrett Ave","Richmond","94804-1654","CA"
"San Bernardino County Sheriff","26010 Highway 189","Twin Peaks","92391-0000","CA"
"Lomita Sheriff Dept","26123 Narbonne Ave","Lomita","90717-2913","CA"
"Orange County Sheriff Dept","2644 Santiago Canyon Rd","Silverado","92676-9791","CA"
"Riverside County Criminal","265 N Broadway","Blythe","92225-1609","CA"
"Oxnard Police Dept","2687 Saviers Rd","Oxnard","93033-4569","CA"
"Sun City Sheriff's Dept","26890 Cherry Hills Blvd","Sun City","92586-2568","CA"
"Kern County Sheriff's Office","26949 Cote St","Boron","93516-1517","CA"
"Highland Police Dept","26985 Baseline St","Highland","92346-6103","CA"
"Coalinga Police Dept","270 N 6th St","Coalinga","93210-1908","CA"
"Malibu Police Dept","27050 Agoura Rd","Agoura Hills","91301-5336","CA"
"Los Angeles Police Dept","2710 W Temple St","Los Angeles","90026-4799","CA"
"San Rafael Police Crime Prvntn","2725 Northgate Mall","San Rafael","94903-3645","CA"
"Ceres Police Dept-Detectives","2727 3rd St","Ceres","95307-3219","CA"
"Merced County Sheriff Dept","2736 Franklin Rd","Merced","95348-9434","CA"
"Palo Alto Police Dept","275 Forest Ave","Palo Alto","94301-2597","CA"
"Temecula Police Dept","27540 Ynez Rd # J9","Temecula","92591-4642","CA"
"Chula Vista Police Dept-Vice","276 4th Ave # A","Chula Vista","91910-2688","CA"
"Chula Vista Police-Burglary","276 4th Ave","Chula Vista","91910-2631","CA"
"Tuolumne County Sheriff","28 Lower Sunset Dr","Sonora","95370-4942","CA"
"Redondo Beach Harbor Patrol","280 Marina Way","Redondo Beach","90277-2088","CA"
"San Diego Cnty Sheriff's Dept","28205 N Lake Wohlford Rd","Valley Center","92082-6742","CA"
"Norco Police Chief","2870 Clark Ave","Norco","92860-1903","CA"
"San Diego County Sheriff","28848 Old Highway 80","Pine Valley","91962-0000","CA"
"Sunset Beach Harbor Patrol","2901 Edinger Ave # C","Huntington Beach","92649-1900","CA"
"Turlock Police Dept","291 Starr Ave","Turlock","95380-3324","CA"
"County Sheriff","30 4th Ave","Happy Camp","96039-0000","CA"
"Police Chief's Office","30 Cajon St","Redlands","92373-4710","CA"
"Contra Costa County Sheriff","30 Glacier Dr","Martinez","94553-4822","CA"
"Tustin Police Dept-Records","300 Centennial Way","Tustin","92780-3715","CA"
"Oxnard Police Dept","300 Clara St","Oxnard","93033-1430","CA"
"American Canyon Sheriffs Dept","300 Crawford Way","American Canyon","94503-1100","CA"
"Los Angeles County Sheriff","300 E Olive Ave","Burbank","91502-1215","CA"
"Los Angeles County Sheriff","300 E Walnut St","Pasadena","91101-1566","CA"
"El Dorado County Sheriff","300 Fair Ln","Placerville","95667-4102","CA"
"Police Department-Records","300 L St","Antioch","94509-1159","CA"
"Sausalito Police Dept","300 Locust St","Sausalito","94965-2907","CA"
"Los Angeles Juveniles Criminal","300 S Park Ave # 620","Pomona","91766-1559","CA"
"Ukiah Police Dept","300 Seminary Ave","Ukiah","95482-5400","CA"
"Police Dept","300 Sonoma Blvd # 1","Vallejo","94590-7854","CA"
"Superior Courts-Criminal Div","300 W Maple Ave","Monrovia","91016-3332","CA"
"Hayward Police Dept-Jail","300 W Winton Ave","Hayward","94544-1137","CA"
"San Francisco Police Dept","301 Eddy St","San Francisco","94102-2606","CA"
"Compton Police Dept","301 S Willowbrook Ave","Compton","90220-3135","CA"
"Inyo County Sheriff","301 W Line St # F","Bishop","93514-3440","CA"
"Biggs","3019 8th St","Biggs","95917-0000","CA"
"Mt Shasta Police Dept","303 N Mount Shasta Blvd","Mt Shasta","96067-2231","CA"
"Visalia Police Dept-Records","303 S Johnson St","Visalia","93291-6135","CA"
"Sheriff's Dept-Court Svc Div","30755 Auld Rd # A","Murrieta","92563-2506","CA"
"Ventura Police Dept","309 E Main St","Ventura","93001-2624","CA"
"Siskiyou County Sheriff","311 Lane St","Yreka","96097-2942","CA"
"Sheriff's Dept-Detectives","826 4th St","Eureka","95501-0516","CA"
"Riverside Bureau-Investigation","82675 Us Highway 111 Fl 4","Indio","92201-5660","CA"
"La Quinta Sheriff Dept","82695 Doctor Carreon Blvd","Indio","92201-6907","CA"
"Atherton Police Dept","83 Ashfield Rd","Atherton","94027-3800","CA"
"San Bernardino Cnty Sheriff","8303 Haven Ave","Rancho Cucamonga","91730-3848","CA"
"Pal Police Activity","832 Whitley Ave","Corcoran","93212-2428","CA"
"Ferndale Police Dept","834 Main St","Ferndale","95536-0000","CA"
"Placer County Marshall","8350 Cook Riolo Rd","Roseville","95747-9215","CA"
"Paso Robles Police Dept","840 10th St","Paso Robles","93446-2592","CA"
"Reedley Police-Community Svc","843 G St","Reedley","93654-2625","CA"
"Reedley Police Detective Div","845 G St","Reedley","93654-2625","CA"
"Sheriff's Dept","845 Imperial Beach Blvd","Imperial Beach","91932-2796","CA"
"Police Dept-Southern","850 Bryant St # 100","San Francisco","94103-4610","CA"
"Police Dept-Traffic Enfrcmnt","850 Bryant St # 150","San Francisco","94103-4610","CA"
"San Francisco Criminal Court","850 Bryant St # 201","San Francisco","94103-4610","CA"
"Police Dept-Investigations Bur","850 Bryant St # 400","San Francisco","94103-4610","CA"
"Police Dept-Warrant Section","850 Bryant St # 460","San Francisco","94103-4603","CA"
"Police Dept-Identification","850 Bryant St # 475","San Francisco","94103-4605","CA"
"Police Dept-Planning Div","850 Bryant St # 500","San Francisco","94103-4603","CA"
"Police Commission","850 Bryant St # 505","San Francisco","94103-4603","CA"
"San Francisco Police Chief","850 Bryant St # 525","San Francisco","94103-4603","CA"
"Police Dept-Field Operations","850 Bryant St # 535","San Francisco","94103-4603","CA"
"Police Dept-Management Control","850 Bryant St # 545","San Francisco","94103-4603","CA"
"Police Dept-Public Affairs","850 Bryant St # 549","San Francisco","94103-4603","CA"
"Police Dept- Exam Div","850 Bryant St # 577-13","San Francisco","94103-4603","CA"
"Police Dept-Property Control","850 Bryant St # G25","San Francisco","94103-4603","CA"
"Police Dept-Recruiting","850 Bryant St","San Francisco","94103-4603","CA"
"Marin County Sheriff's Dept","850 Drake Ave","Sausalito","94965-1111","CA"
"Morro Bay Police Dept","850 Morro Bay Blvd","Morro Bay","93442-2332","CA"
"Kerman City Police Dept","850 S Madera Ave","Kerman","93630-1741","CA"
"South Gate Police Dept","8620 California Ave","South Gate","90280-3073","CA"
"Riverside Police Dept","8636 California Ave","Riverside","92504-2860","CA"
"Los Angeles County Sheriff","8640 California Ave","South Gate","90280-3004","CA"
"Tulare County Sheriff","87 E Morton Ave","Porterville","93257-2465","CA"
"Newport Beach Police Dept-Jail","870 Santa Barbara Dr","Newport Beach","92660-6303","CA"
"Police Dept Licenses","875 Stevenson St","San Francisco","94103-0901","CA"
"Police Dept","8770 S Mendocino Ave # A","Parlier","93648-2268","CA"
"Alpine County Sheriff's Dept S","88 Bear Valley Rd # 1","Bear Valley","95223-9997","CA"
"Pinole Police Dept","880 Tennent Ave","Pinole","94564-1764","CA"
"San Diego County Sheriff","8811 Cuyamaca St","Santee","92071-4220","CA"
"Temple City Sheriff","8838 Las Tunas Dr","Temple City","91780-1820","CA"
"County Sheriff Civil Div","891 Mountain Ranch Rd","San Andreas","95249-9713","CA"
"Santa Cruz County Sheriff","90 Rountree Ln","Watsonville","95076-9457","CA"
"Los Angeles County Sheriff","900 3rd St # 1081","San Fernando","91340-2926","CA"
"Los Angeles County Criminal","900 3rd St # 1137","San Fernando","91340-2905","CA"
"Sacramento Police Dept","900 8th St","Sacramento","95814-2506","CA"
"Turlock Police Dept","900 N Palm St","Turlock","95380-3360","CA"
"Riverside Police Dept","9000 Arlington Ave # 112","Riverside","92503-1265","CA"
"San Leandro Police Detective","901 E 14th St","San Leandro","94577-3729","CA"
"Long Beach Police Dept-Towing","901 W Anaheim St","Long Beach","90813-2823","CA"
"Citizen Patrol","908 Park Ave","Calimesa","92320-1148","CA"
"Police Dept-Crime Prevention","909 Machin Ave","Novato","94945-3240","CA"
"Siskiyou County Sheriff","909 S Mount Shasta Blvd","Mt Shasta","96067-2720","CA"
"Farmersville Police Dept","909 W Visalia Rd","Farmersville","93223-1843","CA"
"San Fernando Police-Detectives","910 1st St","San Fernando","91340-2928","CA"
"Shingletown Sheriff","31185 State Highway 44","Shingletown","96088-9311","CA"
"Santa Barbara County Sheriff","312 E Cook St # O","Santa Maria","93454-5162","CA"
"San Mateo County Sheriff Dept","3121 Middlefield Rd","Redwood City","94063-3731","CA"
"Citizens Volunteer Patrol","31232 Highway 44 # 3","Shingletown","96088-0000","CA"
"San Joaquin County Sheriff","315 E Center St","Manteca","95336-4625","CA"
"Kern County Sheriff's Office","315 N Lincoln St","Taft","93268-1732","CA"
"Marysville Police Dept","316 6th St","Marysville","95901-5541","CA"
"Nevada City Police Dept","317 Broad St","Nevada City","95959-2405","CA"
"Winters Police Dept","318 1st St # A","Winters","95694-1923","CA"
"Upland Police Dept","318 S Mountain Ave","Upland","91786-7016","CA"
"Taft City Police Dept","320 Commerce Way","Taft","93268-9759","CA"
"Waterford Police Dept","320 E St","Waterford","95386-9005","CA"
"Monterey Park Police Comm","320 W Newmark Ave","Monterey Park","91754-2818","CA"
"Crime Prevention & Youth Svc","320 W Temple St # 1162","Los Angeles","90012-3289","CA"
"Tracy Police Dept","3200 Naglee Rd","Tracy","95304-7316","CA"
"Los Alamitos Police Dept","3201 Katella Ave","Los Alamitos","90720-5601","CA"
"Riverside Police Dept","321 E Alessandro Blvd # 2a2","Riverside","92508-2465","CA"
"Solano Cnty Sheriffs Office","321 Tuolumne St","Vallejo","94590-5700","CA"
"County Sheriff","324 N Pine St","Dorris","96023-0000","CA"
"Plumas County Sheriff","324 S Gulling St","Portola","96122-9624","CA"
"San Diego County Sheriff","3240 Main St","Lemon Grove","91945-1705","CA"
"Vista Sheriff's Dept","325 S Melrose Dr # 210","Vista","92083-6694","CA"
"San Diego County Sheriff","325 S Melrose Dr # 2400","Vista","92083-6692","CA"
"San Bernardino Sheriff","32770 Old Woman Springs Rd","Lucerne Valley","92356-0000","CA"
"Imperial County Sheriff","328 Applestille Rd","El Centro","92243-9661","CA"
"S San Francisco Police Dept","33 Arroyo Dr # C","S San Francisco","94080-3153","CA"
"Jackson Police Dept","33 Broadway # D","Jackson","95642-2301","CA"
"Butte County Sheriff-Coroner","33 County Center Dr","Oroville","95965-3334","CA"
"Ross Police Dept","33 Sir Francis Drake Blvd","Ross","94957-0000","CA"
"Pleasant Hill Police Dept","330 Civic Dr","Pleasant Hill","94523-1998","CA"
"Torrance Police Dept-Detective","3300 Civic Center Dr N","Torrance","90503-5016","CA"
"Ventura Police Dept","3301 E Main St","Ventura","93003-5076","CA"
"Fresno County Sheriff-Crime","3302 N Blackstone Ave # 240","Fresno","93726-5300","CA"
"Fresno County Sheriff's Office","33155 Auberry Rd","Auberry","93602-9603","CA"
"Daly City Police Records Div","333 90th St","Daly City","94015-1808","CA"
"Long Beach Police-Internal Afr","333 W Broadway # 302","Long Beach","90802-4438","CA"
"Lake Elsinore Police Dept","333 W Limited St","Lake Elsinore","92530-3746","CA"
"Citizen-Police Complaint Comm","333 W Ocean Blvd Fl 2","Long Beach","90802-4604","CA"
"Police Department-Narcotics","3333 M St","Merced","95348-2714","CA"
"Sonoma County Sheriff","3333 Skaggs Springs Rd","Geyserville","95441-9465","CA"
"San Bernardino Police Dept","334 W Base Line St","San Bernardino","92410-3518","CA"
"Sacramento County Sheriff Dept","3341 Power Inn Rd # 313","Sacramento","95826-3835","CA"
"Los Angeles Police Dept","3353 N San Fernando Rd","Los Angeles","90065-1416","CA"
"Palos Verdes Ests Police Dept","340 Palos Verdes Dr W","Palos Vrds Ests","90274-1212","CA"
"Los Angeles Police Dept","3400 S Central Ave","Los Angeles","90011-2520","CA"
"Police Dept","34009 Alvarado Niles Rd","Union City","94587-4452","CA"
"San Francisco Police Juvenile","3401 17th St","San Francisco","94110-1112","CA"
"Los Angeles Police Dept","3401 N San Fernando Rd","Los Angeles","90065-1418","CA"
"San Bernardino County Police","34282 Yucaipa Blvd","Yucaipa","92399-2434","CA"
"Patterson Police Dept","344 W Las Palmas Ave","Patterson","95363-2541","CA"
"Cathedral Police Dept Market","34481 Date Palm Dr # C","Cathedral City","92234-6842","CA"
"El Segundo Police Dept","348 Main St","El Segundo","90245-3885","CA"
"San Francisco Pal","350 Amber Dr # 511","San Francisco","94131-1630","CA"
"San Francisco Police Academy","350 Amber Dr","San Francisco","94131-1630","CA"
"Porterville Police-Chief","350 N D St","Porterville","93257-3651","CA"
"Police Dept","350 N Valencia Blvd","Woodlake","93286-1244","CA"
"Moraga Town Police Dept","350 Rheem Blvd","Moraga","94556-1591","CA"
"Los Angeles County Sheriff","350 W Mission Blvd # 109","Pomona","91766-1607","CA"
"Marin County Sheriff's Dept","3501 Civic Center Dr # 145","San Rafael","94903-4167","CA"
"Monterey Police Patrol Div","351 Madison St","Monterey","93940-2613","CA"
"Combat","351 Main St","Brawley","92227-2419","CA"
"Westmorland City Police Dept","355 S Center St","Westmorland","92281-0000","CA"
"Sacramento Police Dept","3550 Marysville Blvd","Sacramento","95838-4515","CA"
"Tulare County Sheriff-Juvenile","36008 Road 112","Visalia","93291-9517","CA"
"Mono County Sheriff","3609 Crowley Lake Dr","Crowley Lake","93546-0000","CA"
"Huron Police Dept","36389 S Lassen Ave","Huron","93234-0000","CA"
"Riverside Police Dept-Magnolia","3647 Riverside Plz","Riverside","92506-2722","CA"
"Monterey Police Chief","366 Madison St","Monterey","93940-0000","CA"
"Lafayette Police Dept","3675 Mt Diablo Blvd # 130","Lafayette","94549-3774","CA"
"Camarillo Police Dept","3701 Las Posas Rd","Camarillo","93010-1408","CA"
"Modesto Police Dept-NE Area","3705 Oakdale Rd","Modesto","95357-0723","CA"
"Newark Police Dept-Evidence","37101 Newark Blvd","Newark","94560-3727","CA"
"San Diego Police Dept","3750 Sports Arena Blvd # 3","San Diego","92110-5133","CA"
"San Diego County Sheriff","378 Sheridan Rd","Campo","91906-0000","CA"
"Fresno Police Dept","3789 N Hughes Ave","Fresno","93705-2341","CA"
"Tulare County Sheriff's Office","379 N 3rd St","Porterville","93257-3854","CA"
"Galt Police Dept-Detectives","380 Civic Dr","Galt","95632-2039","CA"
"Riverside Police Dept","3816 La Sierra Ave","Riverside","92505-3528","CA"
"Imperial County Sheriff","383 Main St","Brawley","92227-2414","CA"
"San Diego Police Dept","3840 Valley Centre Dr","San Diego","92130-3306","CA"
"Oceanside Police Dept","3855 Mission Ave","Oceanside","92054-1882","CA"
"Broadmoor Police Dept","388 88th St","Daly City","94015-1717","CA"
"Fallbrook Sheriffs Dept","388 Alvarado St","Fallbrook","92028-0000","CA"
"Riverside Community Police Rvw","3900 Main St","Riverside","92522-0001","CA"
"Simi Valley Police Station","3901 Alamo St","Simi Valley","93063-2102","CA"
"Humboldt County Sheriff's Ofc","39043 Highway 299","Willow Creek","95573-0000","CA"
"San Diego Police Dept","3905 Adams Ave","San Diego","92116-2232","CA"
"Alameda County Criminal Court","39439 Paseo Padre Pkwy","Fremont","94538-4742","CA"
"Hollister Police Dept","395 Apollo Way","Hollister","95023-2557","CA"
"Riverside Police Dept","3956 University Ave","Riverside","92501-3230","CA"
"San Diego Police Dept","3960 30th St","San Diego","92104-3005","CA"
"Police Dept-Silent Witness","39710 Civic Center Dr","Fremont","94538-2359","CA"
"San Diego County Sheriff","39919 Highway 94","Boulevard","91905-0000","CA"
"Kern County Sheriff's Dept","400 California","Maricopa","93252-0000","CA"
"Los Angeles County Sheriff","400 Civic Center Plz # 705","Pomona","91766-3201","CA"
"San Mateo County Sheriff Emer","400 County Ctr","Redwood City","94063-1668","CA"
"Imperial Police Dept","400 S Imperial Ave","Imperial","92251-1637","CA"
"Criminal Justice Council","400 Van Ness Ave # 424","San Francisco","94102-4602","CA"
"S F Sheriff's Dept","400 Van Ness Ave # 456","San Francisco","94102-4602","CA"
"Long Beach Police-South Div","400 W Broadway # 231","Long Beach","90802-4401","CA"
"Long Beach Police Dept-Traffic","400 W Broadway # 235","Long Beach","90802-4401","CA"
